Date,Close,Volume,Unemployment Rate,rf_3 Yr,const
2021-03-01,138.09976196289062,35318400,6.1,0.27,1.0
2021-03-02,133.75474548339844,26411600,6.1,0.26,1.0
2021-03-03,127.75354766845705,37759200,6.1,0.29,1.0
2021-03-04,123.41852569580078,57334400,6.1,0.32,1.0
2021-03-05,124.32892608642578,54284000,6.1,0.32,1.0
2021-03-08,115.6663818359375,54311200,6.1,0.34,1.0
2021-03-09,124.95819854736328,52182400,6.1,0.35,1.0
2021-03-10,124.43921661376952,38437600,6.1,0.32,1.0
2021-03-11,129.68150329589844,29991600,6.1,0.31,1.0
2021-03-12,128.3091583251953,24396400,6.1,0.34,1.0
2021-03-15,131.65513610839844,22198800,6.1,0.33,1.0
2021-03-16,132.65316772460938,27212800,6.1,0.33,1.0
2021-03-17,133.1521759033203,24386400,6.1,0.29,1.0
2021-03-18,126.97676849365234,29389600,6.1,0.33,1.0
2021-03-19,128.2068634033203,29920800,6.1,0.33,1.0
2021-03-22,131.60520935058594,29780400,6.1,0.32,1.0
2021-03-23,130.45248413085938,22204800,6.1,0.31,1.0
2021-03-24,126.18331909179688,24584000,6.1,0.31,1.0
2021-03-25,125.10791778564452,29514400,6.1,0.3,1.0
2021-03-26,128.14198303222656,36396800,6.1,0.31,1.0
2021-03-29,129.2298583984375,27352000,6.1,0.32,1.0
2021-03-30,128.46636962890625,20020400,6.1,0.33,1.0
2021-03-31,133.22203063964844,31477600,6.1,0.35,1.0
2021-04-01,137.84800720214844,30827600,6.1,0.35,1.0
2021-04-05,139.60206604003906,25567200,6.1,0.37,1.0
2021-04-06,138.34451293945312,19174400,6.1,0.35,1.0
2021-04-07,141.15902709960938,25128400,6.1,0.34,1.0
2021-04-08,142.89065551757812,24441600,6.1,0.33,1.0
2021-04-09,143.71900939941406,19517200,6.1,0.35,1.0
2021-04-12,151.79324340820312,86932400,6.1,0.38,1.0
2021-04-13,156.48907470703125,67621200,6.1,0.35,1.0
2021-04-14,152.47193908691406,38550000,6.1,0.35,1.0
2021-04-15,161.0576171875,59848000,6.1,0.32,1.0
2021-04-16,158.8145294189453,33520800,6.1,0.34,1.0
2021-04-19,153.3177490234375,40442000,6.1,0.34,1.0
2021-04-20,151.41650390625,33413200,6.1,0.31,1.0
2021-04-21,153.30528259277344,21677600,6.1,0.32,1.0
2021-04-22,148.21275329589844,27778800,6.1,0.32,1.0
2021-04-23,152.3546142578125,22750000,6.1,0.34,1.0
2021-04-26,154.47799682617188,19779600,6.1,0.35,1.0
2021-04-27,153.51739501953125,16457200,6.1,0.36,1.0
2021-04-28,152.4694366455078,20941600,6.1,0.35,1.0
2021-04-29,152.94850158691406,17319600,6.1,0.35,1.0
2021-04-30,149.80213928222656,20191200,6.1,0.35,1.0
2021-05-03,148.07801818847656,20391200,5.8,0.33,1.0
2021-05-04,143.23248291015625,40532400,5.8,0.33,1.0
2021-05-05,144.30288696289062,29202400,5.8,0.32,1.0
2021-05-06,144.94664001464844,19338000,5.8,0.32,1.0
2021-05-07,147.83351135253906,22932800,5.8,0.29,1.0
2021-05-10,142.37916564941406,26890400,5.8,0.32,1.0
2021-05-11,142.78338623046875,28558400,5.8,0.31,1.0
2021-05-12,137.31655883789062,30340800,5.8,0.35,1.0
2021-05-13,136.3858642578125,28540400,5.8,0.33,1.0
2021-05-14,142.15206909179688,25861600,5.8,0.33,1.0
2021-05-17,141.37863159179688,21698000,5.8,0.34,1.0
2021-05-18,139.884033203125,18625600,5.8,0.34,1.0
2021-05-19,140.38307189941406,34400000,5.8,0.35,1.0
2021-05-20,145.83990478515625,32159200,5.8,0.34,1.0
2021-05-21,149.62496948242188,67299200,5.8,0.34,1.0
2021-05-24,155.81539916992188,55481600,5.8,0.32,1.0
2021-05-25,156.17218017578125,43540800,5.8,0.3,1.0
2021-05-26,156.6936798095703,37044000,5.8,0.31,1.0
2021-05-27,154.57778930664062,58147600,5.8,0.31,1.0
2021-05-28,162.12803649902344,64453600,5.8,0.3,1.0
2021-06-01,162.32765197753906,47280400,5.9,0.31,1.0
2021-06-02,167.4551239013672,59416800,5.9,0.3,1.0
2021-06-03,169.3663787841797,58000800,5.9,0.34,1.0
2021-06-04,175.4395294189453,61712000,5.9,0.32,1.0
2021-06-07,175.8462371826172,57575600,5.9,0.33,1.0
2021-06-08,174.2293701171875,32384800,5.9,0.32,1.0
2021-06-09,173.28353881835938,38165600,5.9,0.31,1.0
2021-06-10,173.94984436035156,28777200,5.9,0.3,1.0
2021-06-11,177.94544982910156,41630800,5.9,0.31,1.0
2021-06-14,179.87716674804688,32137600,5.9,0.33,1.0
2021-06-15,177.57858276367188,24303200,5.9,0.34,1.0
2021-06-16,177.79571533203125,30712400,5.9,0.41,1.0
2021-06-17,186.2511444091797,80965600,5.9,0.43,1.0
2021-06-18,186.06643676757807,96885600,5.9,0.47,1.0
2021-06-21,183.95510864257807,67238400,5.9,0.48,1.0
2021-06-22,188.54214477539065,58014400,5.9,0.44,1.0
2021-06-23,190.2442626953125,33235600,5.9,0.47,1.0
2021-06-24,191.7242126464844,32092400,5.9,0.48,1.0
2021-06-25,189.982177734375,27836400,5.9,0.48,1.0
2021-06-28,199.5057830810547,49543600,5.9,0.47,1.0
2021-06-29,199.92254638671875,36763200,5.9,0.47,1.0
2021-06-30,199.6804962158203,32656800,5.9,0.46,1.0
2021-07-01,201.7718505859375,48013600,5.4,0.47,1.0
2021-07-02,204.5171356201172,34276400,5.4,0.45,1.0
2021-07-06,206.62844848632807,44670800,5.4,0.42,1.0
2021-07-07,203.3666381835937,41842800,5.4,0.41,1.0
2021-07-08,198.6846923828125,50330000,5.4,0.37,1.0
2021-07-09,200.1571502685547,29662400,5.4,0.41,1.0
2021-07-12,204.7716827392578,32198400,5.4,0.43,1.0
2021-07-13,202.1512145996093,29070800,5.4,0.47,1.0
2021-07-14,198.0732421875,38010000,5.4,0.44,1.0
2021-07-15,189.33580017089844,55056400,5.4,0.43,1.0
2021-07-16,181.2971649169922,68822400,5.4,0.43,1.0
2021-07-19,187.47401428222656,74906000,5.4,0.38,1.0
2021-07-20,185.7994079589844,43468700,5.4,0.37,1.0
2021-07-21,193.7657012939453,37101700,5.4,0.39,1.0
2021-07-22,195.6024932861328,32382600,5.4,0.37,1.0
2021-07-23,195.2431030273437,19567200,5.4,0.38,1.0
2021-07-26,192.6076812744141,20394300,5.4,0.38,1.0
2021-07-27,191.7491455078125,24886300,5.4,0.37,1.0
2021-07-28,194.694076538086,20219100,5.4,0.38,1.0
2021-07-29,196.2813415527344,19078100,5.4,0.37,1.0
2021-07-30,194.65415954589844,18349700,5.4,0.35,1.0
2021-08-02,197.1598052978516,21744400,5.1,0.33,1.0
2021-08-03,197.80870056152344,30181100,5.1,0.33,1.0
2021-08-04,202.3907928466797,23130900,5.1,0.34,1.0
2021-08-05,206.0145263671875,21143500,5.1,0.38,1.0
2021-08-06,203.3092041015625,17849700,5.1,0.42,1.0
2021-08-09,202.6004180908203,14644300,5.1,0.43,1.0
